half_year,cpi,ex_rate,inflation
1993-H1,67.63166666666666,1.6308872000000003,1.5052120554967077
1993-H2,68.64966666666668,1.5978289062500002,2.068473262798053
1994-H1,70.06966666666666,1.5675288000000003,2.057951847922792
1994-H2,71.51166666666667,1.4854433070866147,0.30810823408767196
1995-H1,71.732,1.4181349206349216,0.4247290841837348
1995-H2,72.03666666666668,1.4148174603174604,0.6709546064504003
1996-H1,72.52,1.4105650793650801,0.7432432432432258
1996-H2,73.05899999999998,1.40805703125,1.1388056228527934
1997-H1,73.891,1.4271767999999998,1.6492761860939273
1997-H2,75.10966666666667,1.5416328125000007,-1.4614186367489344
1998-H1,74.012,1.6560314516129029,-0.7818551946531339
1998-H2,73.43333333333332,1.684597656249999,0.3921924648207139
1999-H1,73.72133333333333,1.7076274193548384,0.5954857029172825
1999-H2,74.16033333333333,1.6809937499999996,0.5843195598725336
2000-H1,74.59366666666666,1.7099714285714294,0.5876280828131065
2000-H2,75.032,1.7387690476190474,0.3185307602089833
2001-H1,75.271,1.7827695999999995,-0.28784879524208334
2001-H2,75.05433333333333,1.8011811023622053,-0.26292063971433977
2002-H1,74.857,1.8178322580645168,0.017366445355818733
2002-H2,74.87,1.7625000000000002,0.23284804772715717
2003-H1,75.04433333333333,1.7464040322580645,0.28338804173532584
2003-H2,75.25699999999999,1.7367937499999992,0.8251724092111158
2004-H1,75.878,1.6983532258064515,0.7151831448729038
2004-H2,76.42066666666666,1.6807914062499996,-0.4405440064206102
2005-H1,76.08399999999999,1.6468936000000005,1.2902406112542313
2005-H2,77.06566666666666,1.6808251968503933,0.09818466502592581
2006-H1,77.14133333333332,1.6073216000000004,0.6606920630531082
2006-H2,77.651,1.5692531746031746,-0.16827428708795772
2007-H1,77.52033333333333,1.5281895161290324,3.885432209183828
2007-H2,80.53233333333333,1.4849,3.0732997512386437
2008-H1,83.00733333333334,1.3862072000000003,3.408935756680134
2008-H2,85.837,1.4412187499999993,-0.952580666456968
2009-H1,85.01933333333334,1.4919798387096774,0.47949878066949997
2009-H2,85.427,1.4158593750000006,1.3996355562839073
2010-H1,86.62266666666666,1.3964435483870963,2.1714870626625826
2010-H2,88.50366666666666,1.3283164062499995,2.504980961240776
2011-H1,90.72066666666666,1.2576440000000004,2.9423652089564394
2011-H2,93.39,1.2558960629921256,2.3685619445336643
2012-H1,95.60199999999999,1.2631672,1.8528203733534292
2012-H2,97.37333333333333,1.2344606299212595,1.019444064083237
2013-H1,98.36599999999999,1.2430064516129027,0.9979735545479977
2013-H2,99.34766666666667,1.2581937500000009,0.6898333461950256
2014-H1,100.03300000000002,1.2600927419354837,-0.09430221360286374
2014-H2,99.93866666666666,1.2731242187499996,-0.39924487018703475
2015-H1,99.53966666666668,1.3495008064516127,-0.5143678064691275
2015-H2,99.02766666666666,1.399253030303031,-0.5086120713739869
2016-H1,98.524,1.3799000000000001,0.15224716820266276
2016-H2,98.67399999999999,1.3815541984732822,0.33544804102398107
2017-H1,99.005,1.4040430769230772,-0.028618083261776454
2017-H2,98.97666666666667,1.3572100000000005,0.1909540969251941
2018-H1,99.16566666666667,1.3270506024096385,0.3939535524727923
2018-H2,99.55633333333333,1.3711797619047619,0.1871637163548842
2019-H1,99.74266666666665,1.3590045161290314,0.24095338671516722
2019-H2,99.983,1.369226114649682,
