,Real interest rate (%),year,Real interest rate (%).1,exchange_rate
0,3.014395146,1991,4.91535245,1.725803162055337
1,4.50220448,1992,3.884240016,1.6275519685039368
2,1.870453883,1993,3.5466887289999995,1.6141620553359681
3,2.336551651,1994,4.8983561369999995,1.5261603174603173
4,3.119130585,1995,6.5940689,1.4164761904761922
5,4.683226223,1996,6.324007948999999,1.4093011811023641
6,5.184891291,1997,6.6034070389999995,1.4850833992094856
7,8.883774641,1998,7.148191874,1.6705412698412692
8,9.73165276,1999,6.457134912999999,1.694099206349206
9,1.897357839,2000,6.844844183999999,1.7243702380952382
10,7.602682858,2001,4.626756867,1.7920484126984122
11,6.290296818,2002,3.045071183,1.789726984126985
12,7.223096294,2003,2.224101122,1.741522619047619
13,1.178498844,2004,1.604588938,1.689432936507937
14,3.329063438,2005,2.981356779,1.6639940476190473
15,3.403974107,2006,4.786447647,1.5882115537848593
16,-0.553483124,2007,5.22340589,1.506286055776893
17,6.861274214,2008,3.082411291,1.4140391304347817
18,2.34934131,2009,2.4688288959999998,1.4533154761904759
19,4.230742021,2010,2.060736709,1.3618392857142856
20,4.28104961,2011,1.13733832,1.2567630952380957
21,4.886795201,2012,1.307083113,1.2487000000000006
22,5.856075732,2013,1.469299287,1.2507206349206341
23,5.634826207,2014,1.332891842,1.2667119047619044
24,2.221784267,2015,2.167480568,1.3751542968750001
25,4.622535915,2016,2.391984287,1.3807302681992335
26,2.432034112,2017,2.1549287280000002,1.3806265384615375
27,2.173523082,2018,2.485817106,1.3492473053892207
28,5.15024813,2019,3.4781998339999998,1.364148076923076
